Device index,Year,DOI,CP_Mn (kg/mol),CP_Mw (kg/mol),PDI,Solvent_1,Solvent_1_bp (C),Sovlent_1_empirical_polarity (Et),Sovlent_1_normalized_polarity (Etn),Sovlent_1_Mw,Solvent_2,Solvent_2_bp (C),Sovlent_2_empirical_polarity (Et),Sovlent_2_normalized_polarity (Etn),Sovlent_2_Mw,Concentration (g/L),Insulating Matrix,IM_concentration (mg/mL),IM_Mn (kg/mol),IM_Mw (kg/mol),IM_PDI,CP_blend,Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (h),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
103,2014,https://doi.org/10.1039/C4TC00390J,46,82.8,1.8,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,NaN,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.075,NaN,NaN,22.8,1250,NaN,NaN,60,-60,60,0,60,0,60
104,2014,https://doi.org/10.1039/C4TC00390J,46,82.8,1.8,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,PEIE,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.08,NaN,NaN,10.6,30,NaN,NaN,60,-60,60,0,60,0,60
105,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,NaN,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,linear,NaN,NaN,NaN,0.035,NaN,NaN,20,2003,NaN,NaN,60,-60,60,0,60,0,60
106,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,PEIE,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,linear,NaN,NaN,NaN,0.08,NaN,NaN,9.9,61,NaN,NaN,60,-60,60,0,60,0,60
107,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,NaN,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.077,NaN,NaN,20,2003,NaN,NaN,60,-60,60,0,60,0,60
108,2014,https://doi.org/10.1039/C4TC00390J,10.2,48,4.7,C8H10,138.4,33.1,0.074,138.4,NaN,NaN,NaN,NaN,NaN,0.01,NaN,NaN,NaN,NaN,NaN,100,NaN,PET,CYTOP,2000,NaN,NaN,Au,30000,20,3.5,PEIE,Role to role,NaN,NaN,3,NaN,NaN,NaN,NaN,110,5,NaN,NaN,TGBC,Saturation,NaN,NaN,NaN,0.052,NaN,NaN,9.9,61,NaN,NaN,60,-60,60,0,60,0,60
109,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,1.25,NaN,NaN,4.6,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
110,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,87.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,1.18,NaN,NaN,5.5,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
111,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,75,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.94,NaN,NaN,5.09,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
112,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,62.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.68,NaN,NaN,8.29,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
113,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,50,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.52,NaN,NaN,5.74,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
114,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,37.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.405,NaN,NaN,8.21,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
115,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.271,NaN,NaN,7.83,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
116,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,12.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.124,NaN,NaN,6.62,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
117,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,6.25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.025,NaN,NaN,7.86,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
118,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,3.75,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.013,NaN,NaN,11.47,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
119,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,1.25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.01,NaN,NaN,13.92,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
120,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,0.625,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.008,NaN,NaN,19.55,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
121,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,0.25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parallel,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0012,NaN,NaN,17.35,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
122,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,100,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.15,NaN,NaN,0.21,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
123,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,87.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.14,NaN,NaN,0.1,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
124,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,75,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.15,NaN,NaN,1.62,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
125,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,62.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.17,NaN,NaN,5.38,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
126,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,50,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.19,NaN,NaN,6.33,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
127,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,37.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.137,NaN,NaN,5.63,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
128,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.092,NaN,NaN,6.45,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
129,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,12.5,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.059,NaN,NaN,5.99,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
130,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,6.25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.015,NaN,NaN,7.93,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
131,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,3.75,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.004,NaN,NaN,12.75,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
132,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,1.25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.007,NaN,NaN,17.03,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
133,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,0.625,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0198,NaN,NaN,22.4,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
134,2022,https://doi.org/10.1021/acsapm.2c00554,64.1,132.69,2.07,C6H5Cl,132,36.8,0.188,112.56,NaN,NaN,NaN,NaN,NaN,8,PS,8,32.4,33.37,1.03,0.25,NaN,silicon wafer,CYTOP,550,NaN,NaN,Au,10000,20,3.9,PEIE,blade coating,NaN,NaN,0.02,NaN,NaN,parpendicular,NaN,110,1,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.0015,NaN,NaN,17.85,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
135,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,perpendicular,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
136,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,99,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,perpendicular,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.69,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
137,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,98,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,perpendicular,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,1.15,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
138,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,97,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,perpendicular,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,1.21,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
139,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,96,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,perpendicular,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.96,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
140,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,parallel,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.27,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
141,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,99,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,parallel,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.41,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
142,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,98,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,parallel,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.57,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
143,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,97,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,parallel,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.55,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
144,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,96,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,blade coating,NaN,NaN,0.5,50,75,parallel,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.54,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
145,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.33,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
146,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,99,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
147,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,98,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.52,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
148,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,97,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.61,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
149,2022,https://doi.org/10.1021/acs.macromol.1c02329,57,171,3,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,5,Ethylene glycol,NaN,NaN,NaN,NaN,96,NaN,glass,PMMA,750,NaN,NaN,Au,5600,80,3.4,NaN,Spin-Coating,2000,60,NaN,NaN,NaN,NaN,NaN,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.59,NaN,NaN,NaN,NaN,Nitrogen,NaN,60,-10,60,0,60,0,60
150,2020,https://doi.org/10.1038/s41598-020-60812-x,NaN,NaN,NaN,CHCl3,61.2,39.1,0.259,119.38,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,100,NaN,silicon wafer,SiO2,NaN,NaN,NaN,Au,2000,20,NaN,OTS,drop cast,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,4,Vacuum,Ambient,BGBC,Saturation,NaN,NaN,NaN,0.03,NaN,NaN,33.9,100,Ambient,NaN,100,0,100,0,80,0,60
151,2019,DOI: 10.1002/adfm.201807786,NaN,NaN,NaN,C10H7Cl,259.3,37,0.194,162.62,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PPMA,500,NaN,NaN,Au,NaN,NaN,NaN,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,25,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.04,NaN,NaN,8.85,1000,Nitrogen,NaN,60,-10,60,0,60,0,60
152,2019,DOI: 10.1002/adfm.201807786,NaN,NaN,NaN,C10H7Cl,259.3,37,0.194,162.62,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,100,NaN,glass,PPMA,500,NaN,NaN,Au,NaN,NaN,NaN,NaN,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,60,200,0.5,Nitrogen,NaN,TGBC,Saturation,NaN,NaN,NaN,0.11,NaN,NaN,11.49,10000,Nitrogen,NaN,60,-10,60,0,60,0,60
